testcase	rpm	encoder_resolution	kp	ki	traj_type	v_max	estimator_name	p_err_max	p_err_max_pct	p_err_mean	p_err_mean_pct	p_err_rms	p_err_rms_pct	v_err_max	v_err_max_pct	v_err_mean	v_err_mean_pct	v_err_rms	v_err_rms_pct	a_err_max	a_err_max_pct	a_err_mean	a_err_mean_pct	a_err_rms	a_err_rms_pct
1262	24	360	10	10.9749876549306	VelocityStep	144	PITrackingLoop(kp=10,ki=11)	12.2795616199883	41.4129100405961	9.32713396045743	14.2854647389203	9.56374209873066	17.3094976777958	15.9113713760985	11.049563455624	-7.66106478241025	-5.32018387667379	9.20557094589554	6.39275760131634	8832.52475049358	Inf	-32.3980295573976	NaN	3536.47940269858	Inf
1263	26	360	10	10.9749876549306	VelocityStep	156	PITrackingLoop(kp=10,ki=11)	13.2533403578514	41.3028812796533	10.0618975850315	14.2318405136271	10.3196982871185	17.2521289048876	16.7080067395343	10.7102607304707	-8.33522263898229	-5.34309143524506	9.90642565875579	6.35027285817679	8723.5942752678	Inf	-26.2924374000937	NaN	3646.10184202149	Inf
1264	28	360	10	10.9749876549306	VelocityStep	168	PITrackingLoop(kp=10,ki=11)	14.2427991218392	41.1706696944674	10.7960077200712	14.1841754655812	11.0746194651531	17.1999182671714	17.7594902646213	10.5711251575127	-8.94971917889145	-5.3272137969592	10.6033720103314	6.31153095853058	8625.78574991724	Inf	-33.4117214950881	NaN	3761.04525270236	Inf
1265	30	360	10	10.9749876549306	VelocityStep	180	PITrackingLoop(kp=10,ki=11)	15.2093737771961	41.0803337614183	11.5232598809078	14.1358577959406	11.8231253544755	17.1478933659231	18.448536502504	10.2491869458356	-9.62864389334126	-5.34924660741181	11.3074003045011	6.28188905805616	8512.50905814919	Inf	-27.3213890103316	NaN	3857.18731539427	Inf
1266	32	360	10	10.9749876549306	VelocityStep	192	PITrackingLoop(kp=10,ki=11)	16.1953018595812	41.0165856453058	12.2606533500174	14.1042526309315	12.5813812882627	17.1146214280738	19.3626326143034	10.0847044866163	-10.2760382234913	-5.35210324140174	12.0180159118814	6.25938328743822	8421.94010737381	Inf	-34.0801070909972	NaN	3958.41639946821	Inf
1267	34	360	10	10.9749876549306	VelocityStep	204	PITrackingLoop(kp=10,ki=11)	17.1774776089865	40.9768800441914	12.9961790652494	14.0739104973396	13.3377068345748	17.0812689893877	20.3499747883396	9.97547783742135	-10.9301857583124	-5.35793419525119	12.6933205267349	6.22221594447789	8312.72265781462	Inf	-40.8414439614402	NaN	4053.27178524222	Inf
1268	36	360	10	10.9749876549306	VelocityStep	216	PITrackingLoop(kp=10,ki=11)	18.1573278425028	40.8985313226567	13.7278694712352	14.043994838932	14.0904837637313	17.049568818826	21.1952958078448	9.81263694807632	-11.5741191832376	-5.35838851075815	13.4196888673497	6.21281892006932	8205.86364654071	Inf	-35.071663772841	NaN	4132.45527321631	Inf
1269	38	360	10	10.9749876549306	VelocityStep	228	PITrackingLoop(kp=10,ki=11)	19.1386283689097	40.8413861462643	14.4635249168828	14.0202755248453	14.8469992627181	17.0236761421565	22.1006895145082	9.69328487478428	-12.2174971412038	-5.35855137772096	14.1365089501742	6.20022322376064	8109.13641043908	Inf	-41.8656535580614	NaN	4216.27276001887	Inf
1270	40	360	10	10.9749876549306	VelocityStep	240	PITrackingLoop(kp=10,ki=11)	20.1066726367847	40.744577422032	15.1795461319384	13.9827423333948	15.5845104705998	16.9830461280583	22.8115881700877	9.50482840420321	-12.8646751948117	-5.36028133117155	14.8537301894379	6.18905424559914	8009.8344086046	Inf	-36.0555280481507	NaN	4286.07588104672	Inf
1271	42	360	10	10.9749876549306	VelocityStep	252	PITrackingLoop(kp=10,ki=11)	21.126853533377	40.7180703485659	15.9335443903291	13.9792294595175	16.3591320218806	16.9798516677096	24.1002600244185	9.56359524778512	-13.452101336738	-5.3381354510865	15.5582472409011	6.1739076352782	7909.46370714553	Inf	-30.7508703994698	NaN	4352.89698807588	Inf
